gym_name,day_of_week,hour,busyness_percent,hour_24,is_weekend,semester_week,is_exam_week,weather,capacity_label
College Avenue Gym,Sunday,3:00 PM,42,15,True,4,False,clear,Medium
College Avenue Gym,Sunday,4:00 PM,40,16,True,4,False,clear,Medium
College Avenue Gym,Sunday,5:00 PM,45,17,True,4,False,clear,Medium
College Avenue Gym,Sunday,6:00 PM,45,18,True,4,False,clear,Medium
College Avenue Gym,Sunday,7:00 PM,45,19,True,4,False,clear,Medium
College Avenue Gym,Sunday,8:00 PM,35,20,True,4,False,clear,Low
Livingston Recreation Center,Monday,8:00 AM,35,8,False,4,False,rain,Low
Livingston Recreation Center,Monday,9:00 AM,45,9,False,4,False,rain,Medium
Livingston Recreation Center,Monday,10:00 AM,40,10,False,4,False,rain,Medium
Livingston Recreation Center,Monday,11:00 AM,35,11,False,4,False,rain,Low
Livingston Recreation Center,Monday,12:00 PM,35,12,False,4,False,rain,Low
Livingston Recreation Center,Monday,1:00 PM,38,13,False,4,False,rain,Low
Livingston Recreation Center,Monday,2:00 PM,38,14,False,4,False,rain,Low
Livingston Recreation Center,Monday,3:00 PM,45,15,False,4,False,rain,Medium
Livingston Recreation Center,Monday,4:00 PM,55,16,False,4,False,rain,Medium
Livingston Recreation Center,Monday,5:00 PM,58,17,False,4,False,rain,Medium
Livingston Recreation Center,Monday,6:00 PM,65,18,False,5,False,rain,Medium
Livingston Recreation Center,Monday,7:00 PM,70,19,False,5,False,rain,High
Livingston Recreation Center,Monday,8:00 PM,80,20,False,5,False,rain,High
Livingston Recreation Center,Monday,9:00 PM,80,21,False,5,False,rain,High
Livingston Recreation Center,Monday,10:00 PM,55,22,False,5,False,rain,Medium
Livingston Recreation Center,Tuesday,3:00 PM,70,15,False,5,False,clear,High
Livingston Recreation Center,Tuesday,4:00 PM,70,16,False,5,False,clear,High
Livingston Recreation Center,Tuesday,5:00 PM,70,17,False,5,False,clear,High
Livingston Recreation Center,Tuesday,6:00 PM,70,18,False,5,False,clear,High
Livingston Recreation Center,Tuesday,7:00 PM,72,19,False,5,False,clear,High
Livingston Recreation Center,Tuesday,8:00 PM,55,20,False,5,False,clear,Medium
Livingston Recreation Center,Wednesday,8:00 AM,35,8,False,5,False,rain,Low
Livingston Recreation Center,Wednesday,9:00 AM,40,9,False,5,False,rain,Medium
Livingston Recreation Center,Wednesday,10:00 AM,42,10,False,5,False,rain,Medium
Livingston Recreation Center,Wednesday,11:00 AM,40,11,False,5,False,rain,Medium
Livingston Recreation Center,Wednesday,12:00 PM,42,12,False,5,False,rain,Medium
Livingston Recreation Center,Wednesday,1:00 PM,55,13,False,5,False,rain,Medium
Livingston Recreation Center,Wednesday,2:00 PM,60,14,False,5,False,rain,Medium
Livingston Recreation Center,Wednesday,3:00 PM,58,15,False,5,False,rain,Medium
Livingston Recreation Center,Wednesday,4:00 PM,50,16,False,5,False,rain,Medium
Livingston Recreation Center,Wednesday,5:00 PM,45,17,False,5,False,rain,Medium
Livingston Recreation Center,Wednesday,6:00 PM,58,18,False,5,False,rain,Medium
Livingston Recreation Center,Wednesday,7:00 PM,75,19,False,5,False,rain,High
Livingston Recreation Center,Wednesday,8:00 PM,85,20,False,5,False,rain,High
Livingston Recreation Center,Wednesday,9:00 PM,60,21,False,5,False,rain,Medium
Livingston Recreation Center,Wednesday,10:00 PM,40,22,False,6,False,rain,Medium
Livingston Recreation Center,Thursday,8:00 AM,30,8,False,6,False,clear,Low
Livingston Recreation Center,Thursday,9:00 AM,35,9,False,6,False,clear,Low
Livingston Recreation Center,Thursday,10:00 AM,32,10,False,6,False,clear,Low
Livingston Recreation Center,Thursday,11:00 AM,30,11,False,6,False,clear,Low
Livingston Recreation Center,Thursday,12:00 PM,25,12,False,6,False,clear,Low
Livingston Recreation Center,Thursday,1:00 PM,30,13,False,6,False,clear,Low
Livingston Recreation Center,Thursday,2:00 PM,40,14,False,6,False,clear,Medium
Livingston Recreation Center,Thursday,3:00 PM,55,15,False,6,False,clear,Medium
